n|j|name|type|date|title|org|geo|freq|resources|tags|author|email|orgh|licID|lictitle|notes
0|0|02|dataset|2022-05-25|מחקרים ממומנים|science-and-technology|No|NA|1|5|--|avi@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|other-open|Other (Open)|רשימת המחקרים הממומנים ע"י משרד המדע
1|0|03|dataset|2020-07-08|ארגונים בינלאומיים בתחום המדע שבהם נציגות ישראלית|science-and-technology|No|NA|1|1|--|ilana@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|||ארגונים בינלאומיים בתחום המדע שבהם נציגות ישראלית
2|0|04|dataset|2020-07-08|הסכמי שיתוף פעולה בינלאומיים בתחום המדע|science-and-technology|No|NA|1|1|--|ilana@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|cc-by|Creative Commons Attribution|הסכמי שיתוף פעולה בינלאומיים בתחום המדע
3|0|05|dataset|2020-07-08|מדינות עימן חתמה ישראל על הסכמי שיתוף פעולה מדעי דו-לאומי|science-and-technology|No|NA|1|1|--|ilana@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|||המדינות עימן חתמה ישראל על הסכמי שיתוף פעולה מדעי דו-לאומי
4|0|06|dataset|2020-07-08|חברי המועצה לקידום נשים במדע ובטכנולוגיה|science-and-technology|No|NA|1|1|--|Elas@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|||חברי המועצה לקידום נשים במדע ובטכנולוגיה
5|0|062019|dataset|2020-07-08|ביצוע תקציב על שינוייו יוני 2019 לא מבוקר|mof|No|NA|1|1|--|shimritl@cio.gov.il|משרד האוצר|cc-by|Creative Commons Attribution|דוח זה הופק מתוך המערכות התפעוליות ומהווה תמונת מצב חלקית בלבד ואין להסיק ממנו מסקנות לעניין הביצוע התקציבי בתכנית זו או אחרת לגבי שנת 2019.
6|0|14|dataset|2020-07-08|מלגות עידוד לנשים ללימודי הנדסת אלקטרואופטיקה וביואינפורמטיקה|science-and-technology|No|NA|1|1|--|Elas@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|cc-by|Creative Commons Attribution|מלגות עידוד לנשים ללימודי הנדסת אלקטרואופטיקה וביואינפורמטיקה
7|0|17|dataset|2020-07-08|מרכזי להב"ה|science-and-technology|No|NA|1|2|--|Yosit@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|||מרכזים בפרישה ארצית ובהם פעילות הכשרה ביישומי מחשב, הכשרה והעשרה טכנולוגית לציבור הרחב
8|0|18|dataset|2020-07-08|מרכז מחקר ופיתוח|science-and-technology|No|NA|1|0|--|netanelm@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|cc-by|Creative Commons Attribution|מרכז מחקר ופיתוח
9|1|19|dataset|2020-07-08|חוגי מדע|science-and-technology|No|NA|1|2|--|netanelm@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|||חוגי מדע לילדים ונוער ברשויות המקומיות
10|0|1minrain|dataset|2022-02-08|גשם דקתי|meteorological_service|No|NA|85|3|--|abramoviche@ims.gov.il|השירות המטאורולוגי|other-open|Other (Open)|בקבצים שלהלן מוצגים נתוני הגשם הדקתיים ב-84 תחנות אוטומטיות של השירות המטאורולוגי.  להלן מספר הערות אותן יש לקרוא לפני שמשתמשים בנתונים:1. תקופת המדידה: הנתונים מעודכנים עד 30/11/2021 בכל התחנות, למעט מספר קטן של תחנות שהפסיקו לפעול לפני כן ( מרחביה,  חיפה נמל, שערי תקווה). תחילת הנתונים ברוב התחנות היא בשנת 2009. במספר תחנות ישנם נתונים כבר מ-2006 ובכמה תחנות מ-2010 או 2011. 2. התחנות פעלו בדרך כלל ללא הפסקה, למעט מספר קטן של מקרים והדבר מצוין בתוך קבצי התחנות.3. רציפות הנתונים הדקתיים: מוצגות רק הדקות בהן היתה מדידה של גשם. דקות בהן לא ירד גשם אינן מוצגות, כך שאין למעשה רצף של נתונים דקתיים.4. בכל קובץ מוצג הנתון שנמדד ולצידו נתון מתוקן. הצורך בתיקון נובע מעיקרון הפעולה של מד הגשם בתחנה האוטומטית, שגורם למדידת חסר בעוצמות גשם גבוהות. התיקון נדרש החל מעוצמת גשם של 0.7 מ"מ לדקה והוא גדל ככל שעוצמת הגשם גדלה. התיקון הוא על פי נוסחה של היצרן של מד הגשם (למברכט).
11|0|20|dataset|2020-07-08|חוגי מדע - דרכי התקשרות עם מפעילי החוגים|science-and-technology|No|NA|1|1|--|netanelm@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|||דרכי התקשורת עם רשתות החוגים ברשויות המקומיות
12|0|2002-31-10-2016|dataset|2020-07-08|עולים לפי ישובים שעלו לישראל מ 2002 עד 31/10/2016|ministry_of_immigrant_absorption|No|NA|1|3|--|shalombe@moia.gov.il|משרד העלייה והקליטה|||עולים לפי ארצות מוצא עיקריות וישובים שבהם מתגוררים בישראל
13|0|2004-1997|dataset|2020-07-08|תקציב וביצוע 2004-1997 כולל יתרת התחיבויות|mof|No|NA|1|2|--|mluria@mof.gov.il|משרד האוצר|||עדכון נתוני תקציב המדינה וביצועו לשנים 2004-1997
14|0|2005|dataset|2020-07-08|שינויי תקציב 2005|mof|No|NA|2|4|משרד האוצר|talid@mof.gov.il|משרד האוצר|||
15|0|2005-2008|dataset|2020-07-08|תקציב וביצוע 2005-2008|mof|No|NA|1|3|משרד האוצר|talid@mof.gov.il|משרד האוצר|||מאגר המכיל תקציב וביצוע בין השנים 2005-2008.
16|0|2005-2011|dataset|2020-07-08|שינויי תקציב 2005-2011|mof|No|NA|1|4|משרד האוצר|talid@mof.gov.il|משרד האוצר|||מאגר המכיל נתונים על שינויי תקציב בין השנים 2005-2011.
17|0|2006|dataset|2020-07-08|שינויי תקציב 2006|mof|No|NA|2|4|משרד האוצר|talid@mof.gov.il|משרד האוצר|||
18|0|2007|dataset|2020-07-08|שינויי תקציב 2007|mof|No|NA|2|4|משרד האוצר|talid@mof.gov.il|משרד האוצר|||
19|0|2008|dataset|2020-07-08|שינויי תקציב 2008|mof|No|NA|2|4|משרד האוצר|talid@mof.gov.il|משרד האוצר|||
20|0|2009|dataset|2021-10-17|שינויי תקציב 2009|mof|No|NA|2|4|--|talid@mof.gov.il|משרד האוצר|other-open|Other (Open)|
21|0|2009-2011|dataset|2020-07-08|תקציב וביצוע 2009-2011|mof|No|NA|1|3|משרד האוצר|talid@mof.gov.il|משרד האוצר|||מאגר המכיל נתונים על תקציב וביצוע בין השנים 2009-2011.
22|0|2009-2018|dataset|2020-07-08|עולים שעלו בעשור האחרון משנת 2009 עד 2018|ministry_of_immigrant_absorption|No|NA|1|6|--|shalombe@moia.gov.il|משרד העלייה והקליטה|cc-by|Creative Commons Attribution|הדוח מציג את מספר העולים שעלו בעשור האחרון, לפי ישובים בישראל וארצות מוצא עיקריות. הדוח מציג גם את אוכלוסיית העולים לפי ישובים וקבוצות גיל, גיל נכון ליום 1/1/2019
23|0|2010|dataset|2020-07-08|שינויי תקציב 2010|mof|No|NA|2|4|משרד האוצר|talid@mof.gov.il|משרד האוצר|||
24|0|2010-2019|dataset|2021-10-13|קובץ אחוד ארצי של סקרי הרגלי נסיעה 2010-2019|ministry_of_transport|Yes|NA|3|2|--|Felixs@ayalonhw.co.il|משרד התחבורה והבטיחות בדרכים|other-open|Other (Open)|קובץ זה מרכז מידע של סקרי הרגלי נסיעה אזוריים שנערכו בישראל בעשור האחרון, כולל סקרים באזור מטרופולין ירושלים, במטרופולין תל אביב, במחוזות חיפה והצפון, במטרופולין באר שבע, וסקר משלים באיו"ש. הקובץ כולל את המידע שנאסף בין השנים 2010 עד 2019 על הרגלי הנסיעה של כ-38,500 משקי בית.
25|0|2011|dataset|2020-07-08|שינויי תקציב 2011|mof|No|NA|2|3|משרד האוצר|talid@mof.gov.il|משרד האוצר|||
26|0|2012-2005|dataset|2020-07-08|תקציב וביצוע 2012-2005 כולל יתרת התחיבויות|mof|No|NA|1|2|--|mluria@mof.gov.il|משרד האוצר|||עדכון נתוני תקציב המדינה וביצועו לשנים 2012-2005
