n|name|type|date|title|org|geo|freq|resources|tags|author|email|orgh|licID|lictitle|notes
0|02|dataset|2024-05-13|מחקרים ממומנים|science-and-technology|No|Year|1|5|--|avi@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|other-open|אחר (פתוח)|רשימת המחקרים הממומנים ע"י משרד המדע
1|03|dataset|2023-03-21|ארגונים בינלאומיים בתחום המדע שבהם נציגות ישראלית|science-and-technology|No|NA|1|1|--|ilana@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|||ארגונים בינלאומיים בתחום המדע שבהם נציגות ישראלית
2|04|dataset|2023-03-21|הסכמי שיתוף פעולה בינלאומיים בתחום המדע|science-and-technology|No|NA|1|1|--|ilana@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|cc-by|Creative Commons Attribution|הסכמי שיתוף פעולה בינלאומיים בתחום המדע
3|05|dataset|2023-03-21|מדינות עימן חתמה ישראל על הסכמי שיתוף פעולה מדעי דו-לאומי|science-and-technology|No|NA|1|1|--|ilana@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|||המדינות עימן חתמה ישראל על הסכמי שיתוף פעולה מדעי דו-לאומי
4|06|dataset|2023-03-21|חברי המועצה לקידום נשים במדע ובטכנולוגיה|science-and-technology|No|NA|1|1|--|Elas@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|||חברי המועצה לקידום נשים במדע ובטכנולוגיה
5|062019|dataset|2023-03-21|ביצוע תקציב על שינוייו יוני 2019 לא מבוקר|mof|No|NA|1|1|--|shimritl@cio.gov.il|משרד האוצר|cc-by|Creative Commons Attribution|דוח זה הופק מתוך המערכות התפעוליות ומהווה תמונת מצב חלקית בלבד ואין להסיק ממנו מסקנות לעניין הביצוע התקציבי בתכנית זו או אחרת לגבי שנת 2019.
6|14|dataset|2023-03-21|מלגות עידוד לנשים ללימודי הנדסת אלקטרואופטיקה וביואינפורמטיקה|science-and-technology|No|NA|1|1|--|Elas@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|cc-by|Creative Commons Attribution|מלגות עידוד לנשים ללימודי הנדסת אלקטרואופטיקה וביואינפורמטיקה
7|17|dataset|2023-03-21|מרכזי להב"ה|science-and-technology|No|NA|1|2|--|Yosit@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|||מרכזים בפרישה ארצית ובהם פעילות הכשרה ביישומי מחשב, הכשרה והעשרה טכנולוגית לציבור הרחב
8|18|dataset|2023-03-21|מרכז מחקר ופיתוח|science-and-technology|No|NA|1|0|--|netanelm@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|cc-by|Creative Commons Attribution|מרכז מחקר ופיתוח
9|19|dataset|2023-03-21|חוגי מדע|science-and-technology|No|NA|1|2|--|netanelm@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|||חוגי מדע לילדים ונוער ברשויות המקומיות
10|1997|dataset|2024-04-17|ספר השמות הגיאוגרפיים בישראל משנת 1997|israel_mapping_center|No|NotConstant|1|0|--|ronitt@mapi.gov.il|המרכז למיפוי ישראל|other-open|אחר (פתוח)|טופונומסטיקון
11|1minrain|dataset|2023-03-21|גשם דקתי|meteorological_service|No|NA|85|3|--|abramoviche@ims.gov.il|השירות המטאורולוגי|other-open|Other (Open)|בקבצים שלהלן מוצגים נתוני הגשם הדקתיים ב-84 תחנות אוטומטיות של השירות המטאורולוגי.  להלן מספר הערות אותן יש לקרוא לפני שמשתמשים בנתונים:1. תקופת המדידה: הנתונים מעודכנים עד 30/11/2021 בכל התחנות, למעט מספר קטן של תחנות שהפסיקו לפעול לפני כן ( מרחביה,  חיפה נמל, שערי תקווה). תחילת הנתונים ברוב התחנות היא בשנת 2009. במספר תחנות ישנם נתונים כבר מ-2006 ובכמה תחנות מ-2010 או 2011. 2. התחנות פעלו בדרך כלל ללא הפסקה, למעט מספר קטן של מקרים והדבר מצוין בתוך קבצי התחנות.3. רציפות הנתונים הדקתיים: מוצגות רק הדקות בהן היתה מדידה של גשם. דקות בהן לא ירד גשם אינן מוצגות, כך שאין למעשה רצף של נתונים דקתיים.4. בכל קובץ מוצג הנתון שנמדד ולצידו נתון מתוקן. הצורך בתיקון נובע מעיקרון הפעולה של מד הגשם בתחנה האוטומטית, שגורם למדידת חסר בעוצמות גשם גבוהות. התיקון נדרש החל מעוצמת גשם של 0.7 מ"מ לדקה והוא גדל ככל שעוצמת הגשם גדלה. התיקון הוא על פי נוסחה של היצרן של מד הגשם (למברכט).
12|20|dataset|2023-03-21|חוגי מדע - דרכי התקשרות עם מפעילי החוגים|science-and-technology|No|NA|1|1|--|netanelm@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|||דרכי התקשורת עם רשתות החוגים ברשויות המקומיות
13|2004-1997|dataset|2023-03-21|תקציב וביצוע 2004-1997 כולל יתרת התחיבויות|mof|No|NA|1|2|--|mluria@mof.gov.il|משרד האוצר|||עדכון נתוני תקציב המדינה וביצועו לשנים 2004-1997
14|2005|dataset|2023-03-21|שינויי תקציב 2005|mof|No|NA|2|4|משרד האוצר|talid@mof.gov.il|משרד האוצר|||
15|2005-2008|dataset|2023-03-21|תקציב וביצוע 2005-2008|mof|No|NA|1|3|משרד האוצר|talid@mof.gov.il|משרד האוצר|||מאגר המכיל תקציב וביצוע בין השנים 2005-2008.
16|2005-2011|dataset|2023-03-21|שינויי תקציב 2005-2011|mof|No|NA|1|4|משרד האוצר|talid@mof.gov.il|משרד האוצר|||מאגר המכיל נתונים על שינויי תקציב בין השנים 2005-2011.
17|2006|dataset|2023-03-21|שינויי תקציב 2006|mof|No|NA|2|4|משרד האוצר|talid@mof.gov.il|משרד האוצר|||
18|2007|dataset|2023-03-21|שינויי תקציב 2007|mof|No|NA|2|4|משרד האוצר|talid@mof.gov.il|משרד האוצר|||
19|2008|dataset|2023-03-21|שינויי תקציב 2008|mof|No|NA|2|4|משרד האוצר|talid@mof.gov.il|משרד האוצר|||
20|2009|dataset|2023-03-21|שינויי תקציב 2009|mof|No|NA|2|4|--|talid@mof.gov.il|משרד האוצר|other-open|Other (Open)|
21|2009-2011|dataset|2023-03-21|תקציב וביצוע 2009-2011|mof|No|NA|1|3|משרד האוצר|talid@mof.gov.il|משרד האוצר|||מאגר המכיל נתונים על תקציב וביצוע בין השנים 2009-2011.
22|2010|dataset|2023-03-21|שינויי תקציב 2010|mof|No|NA|2|4|משרד האוצר|talid@mof.gov.il|משרד האוצר|||
23|2010-2019|dataset|2023-07-23|קובץ אחוד ארצי של סקרי הרגלי נסיעה 2010-2019|ministry_of_transport|No|NoUpdate|3|2|--|Felixs@ayalonhw.co.il|משרד התחבורה והבטיחות בדרכים|other-open|Other (Open)|קובץ זה מרכז מידע של סקרי הרגלי נסיעה אזוריים שנערכו בישראל בעשור האחרון, כולל סקרים באזור מטרופולין ירושלים, במטרופולין תל אביב, במחוזות חיפה והצפון, במטרופולין באר שבע, וסקר משלים באיו"ש. הקובץ כולל את המידע שנאסף בין השנים 2010 עד 2019 על הרגלי הנסיעה של כ-38,500 משקי בית.
24|2011|dataset|2023-03-21|שינויי תקציב 2011|mof|No|NA|2|3|משרד האוצר|talid@mof.gov.il|משרד האוצר|||
25|2012-2005|dataset|2023-03-21|תקציב וביצוע 2012-2005 כולל יתרת התחיבויות|mof|No|NA|1|2|--|mluria@mof.gov.il|משרד האוצר|||עדכון נתוני תקציב המדינה וביצועו לשנים 2012-2005
26|2013|dataset|2023-03-21|אוכלוסייה ומקבלי גמלאות לפי יישוב - שנת 2013|social_security|No|NA|25|6|--|cochava@nioi.gov.il|המוסד לביטוח לאומי|||מובאים בזאת נתונים דמוגרפיים על האוכלוסייה בישראל לפי קבוצות גיל ונתונים על מספר מקבלי הקצבאות במוסד לביטוח לאומי לפי יישוב, מועצה אזורית, מחוז ונפה לפי שנים. כמו כן, מובאים נתונים על סכום קצבה ממוצע בכל יישוב, מועצה אזורית, מחוז או נפה לפי סוג הקצבה.הנתונים המוצגים נוגעים לגודל האוכלוסייה בכל יישוב ולהתפלגותה לפי גיל: צעירים עד גיל 18, גילאי עבודה וקשישים. מידע זה יאפשר מדידת "יחס התלות הכלכלית" בכל יישוב והשוואה בין יישובים. למדד זה חשיבות רבה במדידת חוסנו הכלכלי של היישוב.
27|2014|dataset|2023-03-21|אוכלוסייה ומקבלי גמלאות לפי יישוב - שנת 2014|social_security|No|NA|24|2|--|cochava@nioi.gov.il|המוסד לביטוח לאומי|||מובאים בזאת נתונים דמוגרפיים על האוכלוסייה בישראל לפי קבוצות גיל ונתונים על מספר מקבלי הקצבאות במוסד לביטוח לאומי לפי יישוב, מועצה אזורית, מחוז ונפה לפי שנים. כמו כן, מובאים נתונים על סכום קצבה ממוצע בכל יישוב, מועצה אזורית, מחוז או נפה לפי סוג הקצבה.הנתונים המוצגים נוגעים לגודל האוכלוסייה בכל יישוב ולהתפלגותה לפי גיל: צעירים עד גיל 18, גילאי עבודה וקשישים. מידע זה יאפשר מדידת "יחס התלות הכלכלית" בכל יישוב והשוואה בין יישובים. למדד זה חשיבות רבה במדידת חוסנו הכלכלי של היישוב.
28|2015-2013|dataset|2023-03-21|תקציב וביצוע 2015-2013 כולל יתרת התחיבויות|mof|No|NA|1|2|--|mluria@mof.gov.il|משרד האוצר|||עדכון נתוני תקציב המדינה וביצועו לשנים 2015-2013
29|2017|dataset|2023-03-21|דוח מסכם 2017 - דיווחי ביצוע על החלטות ממשלה|pmo|No|NA|1|12|--|urid@pmo.gov.il|משרד ראש הממשלה |||מעקב אחר ביצוע החלטות הממשלה ה-34 שיועדו להתבצע בין השנים 2015-2017.
30|2017-2018|dataset|2023-03-21|הצעת תקציב לשנים 2017-2018|mof|No|NA|1|4|--|mluria7@gmail.com|משרד האוצר|||הצעת תקציב לשנים 2017-2018
31|2018|dataset|2023-03-21|מקוואות טהרה 2018|religion-office|No|NA|1|3|--|michal@dat.gov.il|המשרד לשירותי דת|other-open|Other (Open)|מקוואות טהרה בישראל, כתובות, פרטי קשר ושעות פעילות
32|2018-2017|dataset|2023-03-21|תקציב מקורי 2018-2017|mof|No|NA|1|2|--|mluria@mof.gov.il|משרד האוצר|||תקציב מקורי לשנים 2018-2017 ברמת תקנה
33|2018-puf|dataset|2024-09-09|תאונות דרכים עם נפגעים - 2018 - PUF מקוצר|lamas|No|Year|6|2|--|info@cbs.gov.il|הלשכה המרכזית לסטטיסטיקה|other-open|אחר (פתוח)|תאונות דרכים עם נפגעים 2018 מסוג ת"ד מורחב - קובץ מקוצר
34|2019infrastructure|dataset|2023-03-21|תשתית לצמיחה 2019 - התכנית הרב שנתית לפיתוח תשתיות|pmo|No|NA|1|7|--|urid@pmo.gov.il|משרד ראש הממשלה |cc-by|Creative Commons Attribution|בקובץ זה מופיעים כלל הפרויקטים של משרדי הממשלה, מלבד משרד החינוך ומשרד העבודה, הרווחה והשירותים החברתיים.
35|2020|dataset|2023-03-21|תשתית לצמיחה 2020 - התכנית הרב שנתית לפיתוח תשתיות|pmo|No|NA|1|7|--|tomers@cio.gov.il|משרד ראש הממשלה |other-open|Other (Open)|בקובץ זה מופיעים כלל פרויקטי התשתיות בישראל שעלות הקמתם 100 מלש"ח או יותר, שהחלו הקמה או צפויים להתחיל הקמה בחמש השנים הקרובות, ושעברו בחינת כדאיות כלכלית ואישור תקציבי או שקיימת לגביהם החלטת ממשלה (הקובץ אינו כולל את הפרויקטים של משרד החינוך אשר מופיעים בתכנית שפורסמה באתר משרד ראש הממשלה).
36|2020-puf|dataset|2024-09-09|תאונות דרכים עם נפגעים - 2020 - PUF מקוצר|lamas|No|Year|6|2|--|info@cbs.gov.il|הלשכה המרכזית לסטטיסטיקה|other-open|אחר (פתוח)|תאונות דרכים עם נפגעים 2020 מסוג ת"ד מורחב - קובץ מקוצר
37|2021|dataset|2023-03-21|היחידה לחופש המידע - דוח שנתי 2021|ministry_of_justice|No|NotConstant|2|0|--|yehudakat@justice.gov.il|משרד המשפטים|other-open|Other (Open)|נתונים גולמיים של דו"ח חופש המידע 2021 – נתונים בחתך של משרדי ממשלה ויחידות הסמך אודות זמני המענה לבקשות חופש מידע, עילות דחיה של בקשות, התפלגות תוצאת הטיפול וסכומי אגרות, כפי שהתקבלו בדיווחי הממונים על העמדת מידע לציבור לשנת 2021.
38|2021-puf|dataset|2024-09-09|תאונות דרכים עם נפגעים - 2021 - PUF מקוצר|lamas|No|Year|6|2|--|info@cbs.gov.il|הלשכה המרכזית לסטטיסטיקה|other-open|אחר (פתוח)|תאונות דרכים עם נפגעים 2021 מסוג ת"ד מורחב - קובץ מקוצר
39|2022|dataset|2024-06-03|מפקד האוכלוסין והדיור 2022|lamas|No|NotConstant|3|2|--|serafimam@cio.gov.il|הלשכה המרכזית לסטטיסטיקה|other-open|אחר (פתוח)|מטרת המפקד היא לקבל תמונה מלאה ומהימנה של אוכלוסיית המדינה ומאפייניה ובכלל זה נתונים דמוגרפיים, חברתיים וכלכליים בכל יישוב בארץ. הנתונים ישמשו את קובעי  המדיניות המקומית והארצית. ייחודו של מפקד האוכלוסין הוא באפשרות לחקור קבוצות אוכלוסייה קטנות ומיוחדות ולקבל מידע על יחידות גאוגרפיות קטנות.
40|2023|dataset|2024-09-29|מעקב אחר ביצוע משימות החלטות ממשלה לשנת 2023|pmo|No|NotConstant|2|17|--|hibas@pmo.gov.il|משרד ראש הממשלה |other-open|אחר (פתוח)|במסגרת מהלכיו הרוחביים לשיפור, ייעול וחיזוק יכולות הביצוע של הממשלה, אגף ממשל וחברה במשרד ראש הממשלה מבצע החל משנת 2015 מעקב אחר ביצוע החלטות הממשלה. אחת לשנה האגף מרכז את דיווחי הביצוע של כלל משרדי הממשלה ויחידות הסמך ומפרסם אותם לציבור. פרסום זה הנו חלק מהשגרות הממשלתיות של תהליכי התכנון, המעקב והבקרה הן ברמה המשרדית והן ברמה הממשלתית.הדו"ח המובא בפניכם עוקב אחר דיווחי הביצוע של המשימות הביצועיות היוצאות מהחלטות הממשלה לשנת 2023 ומציג תמונת מצב עדכנית בהתאם לדיווחים שמסרו משרדי הממשלה ויחידות הסמך.
