OID,ROADNUM,TRAFAUTH,TRAFCODE,ROAD,YEARMONTH,STATUS,Shape_Length
-1,1,דרך ארץ,70106.000000000000000,1,202007.000000000000000,קיים,983.493680152737852
-1,1,דרך ארץ,70106.000000000000000,1,202007.000000000000000,קיים,4776.190782445597506
-1,1,משרד הבטחון,60100.000000000000000,1,202007.000000000000000,קיים,236.512079097633659
-1,1,נתיבי איילון,10103.000000000000000,1,202007.000000000000000,קיים,694.167063270758717
-1,1,נתיבי איילון,10103.000000000000000,1,202007.000000000000000,קיים,1019.015729631195427
-1,1,נתיבי איילון,10103.000000000000000,1,202007.000000000000000,קיים,164.033174472093776
-1,1,נתיבי איילון,10103.000000000000000,1,202007.000000000000000,קיים,1094.268052815525152
-1,1,נתיבי איילון,10103.000000000000000,1,202007.000000000000000,קיים,395.167526964423018
-1,1,נתיבי איילון,10103.000000000000000,1,202007.000000000000000,קיים,395.116025327540115
-1,1,נתיבי איילון,10103.000000000000000,1,202007.000000000000000,קיים,5.786046029885574
-1,1,נתיבי איילון,10103.000000000000000,1,202007.000000000000000,קיים,6.578925724675941
-1,1,נתיבי איילון,10103.000000000000000,1,202007.000000000000000,קיים,28.713819809207404
-1,1,נתיבי איילון,10103.000000000000000,1,202007.000000000000000,קיים,29.588892307232587
-1,1,נתיבי איילון,10103.000000000000000,1,202007.000000000000000,קיים,254.315581220469994
-1,1,נתיבי איילון,10103.000000000000000,1,202007.000000000000000,קיים,485.591128469406613
-1,1,נתיבי איילון,10103.000000000000000,1,202007.000000000000000,קיים,352.573222777875174
-1,1,נתיבי איילון,10103.000000000000000,1,202007.000000000000000,קיים,267.025670378957784
-1,1,נתיבי איילון,10103.000000000000000,1,202007.000000000000000,קיים,824.194430090473247
-1,1,נתיבי איילון,10103.000000000000000,1,202007.000000000000000,קיים,158.358859200629212
-1,1,נתיבי איילון,10103.000000000000000,1,202007.000000000000000,קיים,294.226735501615678
-1,1,נתיבי איילון,10103.000000000000000,1,202007.000000000000000,קיים,556.150876359223844
-1,1,נתיבי היובל,70101.000000000000000,1,202007.000000000000000,קיים,2972.555837549516582
-1,2,נתיבי איילון,10103.000000000000000,2,202007.000000000000000,קיים,1071.948076157751075
-1,2,נתיבי איילון,10103.000000000000000,2,202007.000000000000000,קיים,1312.580191673011086
-1,2,נתיבי איילון,10103.000000000000000,2,202007.000000000000000,קיים,437.335830091386356
-1,2,נתיבי איילון,10103.000000000000000,2,202007.000000000000000,קיים,617.109540615285823
-1,2,נתיבי איילון,10103.000000000000000,2,202007.000000000000000,קיים,1383.600379704755142
-1,2,נתיבי איילון,10103.000000000000000,2,202007.000000000000000,קיים,2494.864288299457257
-1,2,נתיבי איילון,10103.000000000000000,2,202007.000000000000000,קיים,3121.372646064973651
-1,2,נתיבי איילון,10103.000000000000000,2,202007.000000000000000,קיים,99.495889194484320
-1,2,נתיבי איילון,10103.000000000000000,2,202007.000000000000000,קיים,60.271838102156892
-1,2,נתיבי איילון,10103.000000000000000,2,202007.000000000000000,קיים,437.397773485032360
-1,2,נתיבי איילון,10103.000000000000000,2,202007.000000000000000,קיים,999.408210762067483
-1,2,נתיבי איילון,10103.000000000000000,2,202007.000000000000000,קיים,138.449956123099525
-1,2,נתיבי איילון,10103.000000000000000,2,202007.000000000000000,קיים,714.919459845474762
-1,2,נתיבי איילון,10103.000000000000000,2,202007.000000000000000,קיים,829.080600985694900
-1,2,נתיבי איילון,10103.000000000000000,2,202007.000000000000000,קיים,945.752379285485063
-1,2,נתיבי איילון,10103.000000000000000,2,202007.000000000000000,קיים,732.659285268494614
-1,2,נתיבי איילון,10103.000000000000000,2,202007.000000000000000,קיים,89.526427955555334
-1,2,נתיבי איילון,10103.000000000000000,2,202007.000000000000000,קיים,535.622988828369444
-1,2,נתיבי איילון,10103.000000000000000,2,202007.000000000000000,קיים,4624.844714156198279
-1,2,נתיבי איילון,10103.000000000000000,2,202007.000000000000000,קיים,386.232089284720814
-1,2,נתיבי איילון,10103.000000000000000,2,202007.000000000000000,קיים,430.493616927967764
-1,2,נתיבי איילון,10103.000000000000000,2,202007.000000000000000,קיים,306.450198929057478
-1,2,נתיבי איילון,10103.000000000000000,2,202007.000000000000000,קיים,332.968632694614826
-1,2,נתיבי איילון,10103.000000000000000,2,202007.000000000000000,קיים,286.734210951828402
-1,2,נתיבי איילון,10103.000000000000000,2,202007.000000000000000,קיים,325.558969777390189
-1,2,נתיבי איילון,10103.000000000000000,2,202007.000000000000000,קיים,598.565447000571794
-1,2,נתיבי איילון,10103.000000000000000,2,202007.000000000000000,קיים,264.117205551004986
-1,2,נתיבי איילון,10103.000000000000000,2,202007.000000000000000,קיים,615.934573783471706
-1,2,נתיבי איילון,10103.000000000000000,2,202007.000000000000000,קיים,285.556715116361374
-1,2,נתיבי איילון,10103.000000000000000,2,202007.000000000000000,קיים,183.987875165660853
-1,2,נתיבי איילון,10103.000000000000000,2,202007.000000000000000,קיים,610.592359883088420
-1,2,נתיבי איילון,10103.000000000000000,2,202007.000000000000000,קיים,544.313529291635291
-1,20,נתיבי ישראל,10101.000000000000000,20,202007.000000000000000,קיים,679.436463310389627
-1,20,נתיבי איילון,10103.000000000000000,20,202007.000000000000000,קיים,4576.440746228490752
-1,227,רכבת ישראל,10105.000000000000000,227,202007.000000000000000,קיים,212.436495402176718
-1,23,כרמלטון,70105.000000000000000,23,202007.000000000000000,קיים,5758.570515424414225
-1,23,כרמלטון,70105.000000000000000,23,202007.000000000000000,קיים,5779.278260634957405
-1,3,דרך ארץ,70106.000000000000000,3,202007.000000000000000,קיים,955.124218155829226
-1,316,משרד הבטחון,60100.000000000000000,316,202007.000000000000000,קיים,298.984951854727115
-1,35,משרד הבטחון,60100.000000000000000,35,202007.000000000000000,קיים,488.596049309461023
-1,367,משרד הבטחון,60100.000000000000000,367,202007.000000000000000,קיים,834.422578246680473
-1,375,משרד הבטחון,60100.000000000000000,375,202007.000000000000000,קיים,458.921213946235810
-1,398,משרד הבטחון,60100.000000000000000,398,202007.000000000000000,קיים,346.413526598388614
-1,4,נתיבי היובל,70101.000000000000000,4,202007.000000000000000,קיים,1250.277763451665123
-1,40,נתיבי היובל,70101.000000000000000,40,202007.000000000000000,קיים,329.156561708302320
-1,40,נתיבי היובל,70101.000000000000000,40,202007.000000000000000,קיים,175.644944185360345
-1,40,נתיבי היובל,70101.000000000000000,40,202007.000000000000000,קיים,425.599430542905623
-1,40,נתיבי היובל,70101.000000000000000,40,202007.000000000000000,קיים,162.046188965050334
-1,40,נתיבי היובל,70101.000000000000000,40,202007.000000000000000,קיים,110.594469209928761
-1,40,נתיבי היובל,70101.000000000000000,40,202007.000000000000000,קיים,461.403483512508160
-1,40,רכבת ישראל,10105.000000000000000,40,202007.000000000000000,קיים,159.745077247128393
-1,402,נתיבי איילון,10103.000000000000000,402,202007.000000000000000,קיים,3723.866534114667047
-1,411,דרך ארץ,70106.000000000000000,411,202007.000000000000000,קיים,509.434042990460625
-1,42,נתיבי היובל,70101.000000000000000,42,202007.000000000000000,קיים,1908.415411229344045
-1,423,נתיבי היובל,70101.000000000000000,423,202007.000000000000000,קיים,293.041119915984268
-1,424,דרך ארץ,70106.000000000000000,424,202007.000000000000000,קיים,1617.955061592056154
-1,4304,נתיבי היובל,70101.000000000000000,4304,202007.000000000000000,קיים,122.626348829907016
-1,431,נתיבי איילון,10103.000000000000000,431,202007.000000000000000,קיים,297.503648795211745
-1,431,נתיבי איילון,10103.000000000000000,431,202007.000000000000000,קיים,849.290088530988442
-1,431,נתיבי איילון,10103.000000000000000,431,202007.000000000000000,קיים,133.754094792888139
-1,431,נתיבי איילון,10103.000000000000000,431,202007.000000000000000,קיים,1198.801156826343686
-1,431,נתיבי היובל,70101.000000000000000,431,202007.000000000000000,קיים,8015.457586102019377
-1,431,נתיבי היובל,70101.000000000000000,431,202007.000000000000000,קיים,1209.330612871403446
-1,431,נתיבי היובל,70101.000000000000000,431,202007.000000000000000,קיים,1236.167792724646915
-1,431,נתיבי היובל,70101.000000000000000,431,202007.000000000000000,קיים,1294.085129597148125
-1,431,נתיבי היובל,70101.000000000000000,431,202007.000000000000000,קיים,83.874491086929837
-1,431,נתיבי היובל,70101.000000000000000,431,202007.000000000000000,קיים,362.746829753457746
-1,431,נתיבי היובל,70101.000000000000000,431,202007.000000000000000,קיים,27.581607854150395
-1,431,נתיבי היובל,70101.000000000000000,431,202007.000000000000000,קיים,10462.893459861908923
-1,4311,נתיבי היובל,70101.000000000000000,4311,202007.000000000000000,קיים,557.350649719802277
-1,4311,נתיבי היובל,70101.000000000000000,4311,202007.000000000000000,קיים,90.040264535282276
-1,4311,נתיבי היובל,70101.000000000000000,4311,202007.000000000000000,קיים,0.524104121003850
