n|rsc|org|tag|tagId
0|02|science-and-technology|המדען הראשי|--
0|02|science-and-technology|חוקר|--
0|02|science-and-technology|מחקרים|--
0|02|science-and-technology|קול קורא|--
0|02|science-and-technology|שיתוף פעולה|--
2|04|science-and-technology|שיתוף פעולה בינלאומי הסכם|--
3|05|science-and-technology|מדע|--
4|06|science-and-technology|מדע|--
5|062019|mof|תקציב|--
6|14|science-and-technology|מלגות נשים הנדסת אלקטרואופטיקה ביואינפורמטיקה|--
9|19|science-and-technology|חוגים|--
9|19|science-and-technology|מדע|--
11|20|science-and-technology|מדע|--
13|2004-1997|mof|אוצר וכלכלה|--
13|2004-1997|mof|תקציב|--
18|2007|mof|אוצר וכלכלה|--
18|2007|mof|שינויי תקציב|--
18|2007|mof|שינויים תקציב|--
18|2007|mof|תקציב|--
19|2008|mof|אוצר וכלכלה|--
19|2008|mof|שינויי תקציב|--
19|2008|mof|שינויים בתקציב|--
19|2008|mof|תקציב|--
20|2009|mof|אוצר וכלכלה|--
20|2009|mof|שינויי תקציב|--
20|2009|mof|שינויים בתקציב|--
20|2009|mof|תקציב|--
37|2030|ministry_of_transport|2030|--
37|2030|ministry_of_transport|GIS|--
37|2030|ministry_of_transport|ממג|--
37|2030|ministry_of_transport|מקומות עבודה|--
37|2030|ministry_of_transport|צפיפות|--
38|206|ministry_of_the_environment|חוף|--
38|206|ministry_of_the_environment|חוף נקי|--
38|206|ministry_of_the_environment|סביבה|--
39|209|ministry_of_the_environment|ארגונים|--
39|209|ministry_of_the_environment|בעלי חיים|--
39|209|ministry_of_the_environment|חיות|--
39|209|ministry_of_the_environment|סביבה|--
39|209|ministry_of_the_environment|עמותות|--
40|21|science-and-technology|מדע|--
41|257|ministry_of_transport|בקרה מרחבית|--
41|257|ministry_of_transport|טיסות אזרחיות|--
41|257|ministry_of_transport|מודיעין טיס|--
41|257|ministry_of_transport|מידע תעופתי פנים ארצי|--
41|257|ministry_of_transport|תחבורה|--
41|257|ministry_of_transport|תעבורה אווירית|--
42|258|ministry_of_transport|בטיחות|--
42|258|ministry_of_transport|דוחות חקירה בטיחותיים|--
42|258|ministry_of_transport|טיסה|--
42|258|ministry_of_transport|טיסות|--
42|258|ministry_of_transport|תחבורה|--
43|276|airport_authority|אוצר וכלכלה|--
43|276|airport_authority|חינוך ותרבות|--
44|278|airport_authority|אוכלוסיה|--
44|278|airport_authority|כתובות|--
44|278|airport_authority|מעברי גבול|--
44|278|airport_authority|שדות תעופה|--
44|278|airport_authority|תחבורה|--
45|280|airport_authority|אוכלוסיה|--
45|280|airport_authority|סביבה|--
45|280|airport_authority|תחבורה|--
46|285|social_security|ביטוח לאומי|--
46|285|social_security|בריאות ורווחה|--
46|285|social_security|סביבה|--
46|285|social_security|סניפים|--
47|287|social_security|אוצר וכלכלה|--
47|287|social_security|ביטוח לאומי|--
47|287|social_security|בריאות ורווחה|--
47|287|social_security|קיצבאות|--
48|288|social_security|אוצר וכלכלה|--
48|288|social_security|ביטוח לאומי|--
48|288|social_security|שכר מינימום|--
49|289|social_security|אוצר וכלכלה|--
49|289|social_security|ביטוח לאומי|--
49|289|social_security|בריאות ורווחה|--
49|289|social_security|שכיר|--
50|29|science-and-technology|מדע|--
50|29|science-and-technology|קייטנות|--
50|29|science-and-technology|קיץ|--
51|290|social_security|אוצר וכלכלה|--
51|290|social_security|ביטוח לאומי|--
51|290|social_security|בריאות ורווחה|--
51|290|social_security|עצמאי|--
52|291|social_security|אוצר וכלכלה|--
52|291|social_security|ביטוח לאומי|--
52|291|social_security|לא שכירים|--
53|292|social_security|אוצר וכלכלה|--
53|292|social_security|ביטוח לאומי|--
53|292|social_security|דמי ביטוח לאומי|--
53|292|social_security|הכנסה מזערית|--
53|292|social_security|הכנסה מירבות|--
53|292|social_security|מעסיק|--
53|292|social_security|תקרת הכנסה|--
54|293|social_security|אוצר וכלכלה|--
54|293|social_security|ביטוח לאומי|--
54|293|social_security|דמי ביטוח|--
54|293|social_security|הכנסה מזערית|--
54|293|social_security|הכנסה מירבות|--
54|293|social_security|תקרת הכנסה|--
55|294|social_security|אוצר וכלכלה|--
55|294|social_security|ביטוח לאומי|--
55|294|social_security|דמי ביטוח לאומי|--
55|294|social_security|הכנסה מזערית|--
55|294|social_security|הכנסה מירבות|--
55|294|social_security|תקרת הכנסה|--
63|321|population_authority|אוכלוסיה|--
63|321|population_authority|רחובות ישראל|--
64|334|isa|אוצר וכלכלה|--
64|334|isa|חברות ציבוריות|--
64|334|isa|תאגידים מדווחים בישראל|--
64|334|isa|תאגידים ציבוריים|--
65|335|isa|אוצר וכלכלה|--
66|343|ministry_of_immigrant_absorption|אוכלוסיה|--
66|343|ministry_of_immigrant_absorption|אוצר וכלכלה|--
66|343|ministry_of_immigrant_absorption|מוסדות ציבור|--
66|343|ministry_of_immigrant_absorption|סיוע|--
66|343|ministry_of_immigrant_absorption|עזבונות|--
67|345|ministry_of_agriculture|בעלי חיים|--
67|345|ministry_of_agriculture|בריאות|--
67|345|ministry_of_agriculture|בריאות ורווחה|--
67|345|ministry_of_agriculture|חקלאות|--
67|345|ministry_of_agriculture|סביבה|--
67|345|ministry_of_agriculture|רופאים וטרינריים|--
67|345|ministry_of_agriculture|רפואה|--
68|348|bank_israel|אוצר וכלכלה|--
69|350|bank_israel|אוצר וכלכלה|--
70|351|bank_israel|אוצר וכלכלה|--
71|352|bank_israel|אוצר וכלכלה|--
72|353|bank_israel|אוצר וכלכלה|--
73|354new|bank_israel|אוצר וכלכלה|--
74|355new|bank_israel|אוצר וכלכלה|--
75|356|bank_israel|2012|--
75|356|bank_israel|אוצר וכלכלה|--
75|356|bank_israel|בנק ישראל|--
75|356|bank_israel|מטבעות יציגים|--
75|356|bank_israel|שער חליפין|--
75|356|bank_israel|שערי מטבע|--
76|357|bank_israel|2011|--
76|357|bank_israel|אוצר וכלכלה|--
76|357|bank_israel|בנק ישראל|--
76|357|bank_israel|שערי מטבע|--
76|357|bank_israel|שערים יציגים|--
77|358|bank_israel|אוצר וכלכלה|--
78|360|bank_israel|אוצר וכלכלה|--
79|361|bank_israel|2007|--
79|361|bank_israel|אוצר וכלכלה|--
79|361|bank_israel|בנק ישראל|--
79|361|bank_israel|מטבעות יציגים|--
79|361|bank_israel|שערי מטבע|--
80|362|bank_israel|2006|--
80|362|bank_israel|אוצר וכלכלה|--
80|362|bank_israel|בנק ישראל|--
80|362|bank_israel|מטבע חוץ|--
80|362|bank_israel|שערי חליפין|--
80|362|bank_israel|שערים יציגים|--
80|362|bank_israel|שערים ממוצעים|--
81|363|bank_israel|2005|--
81|363|bank_israel|אוצר וכלכלה|--
81|363|bank_israel|בנק ישראל|--
81|363|bank_israel|מטבע יציג|--
81|363|bank_israel|שערי מטבע|--
81|363|bank_israel|שערים ממוצעים|--
82|364|bank_israel|אוצר וכלכלה|--
82|364|bank_israel|בנק ישראל|--
82|364|bank_israel|שער יציג|--
82|364|bank_israel|שערי מטבע|--
82|364|bank_israel|שערים ממוצעים|--
83|365|bank_israel|אוצר וכלכלה|--
83|365|bank_israel|מטבע חוץ|--
83|365|bank_israel|שערי חליפין|--
83|365|bank_israel|שערים יציגים|--
83|365|bank_israel|שערים ממוצעים|--
84|366|bank_israel|אוצר וכלכלה|--
84|366|bank_israel|מטבע חוץ|--
84|366|bank_israel|מטבעות יציגים|--
84|366|bank_israel|שער יציג|--
84|366|bank_israel|שערי חליפין|--
84|366|bank_israel|שערים ממוצעים|--
85|367|bank_israel|2001|--
85|367|bank_israel|אוצר וכלכלה|--
85|367|bank_israel|בנק ישראל|--
85|367|bank_israel|שער יציג|--
85|367|bank_israel|שערי מטבע|--
85|367|bank_israel|שערים ממוצעים|--
86|371|bank_israel|אוצר וכלכלה|--
86|371|bank_israel|בנק ישראל|--
86|371|bank_israel|הצמדה למדד|--
86|371|bank_israel|משכנתאות|--
