n|name|type|date|title|org|geo|freq|resources|tags|author|email|orgh|licID|lictitle|notes
0|02|dataset|2025-03-24|מחקרים ממומנים|science-and-technology|No|Year|1|5|--|avi@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|other-open|Other (Open)|רשימת המחקרים הממומנים ע"י משרד המדע
1|03|dataset|2023-03-21|ארגונים בינלאומיים בתחום המדע שבהם נציגות ישראלית|science-and-technology|No|NA|1|1|--|ilana@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|||ארגונים בינלאומיים בתחום המדע שבהם נציגות ישראלית
2|04|dataset|2023-03-21|הסכמי שיתוף פעולה בינלאומיים בתחום המדע|science-and-technology|No|NA|1|1|--|ilana@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|cc-by|Creative Commons Attribution|הסכמי שיתוף פעולה בינלאומיים בתחום המדע
3|05|dataset|2023-03-21|מדינות עימן חתמה ישראל על הסכמי שיתוף פעולה מדעי דו-לאומי|science-and-technology|No|NA|1|1|--|ilana@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|||המדינות עימן חתמה ישראל על הסכמי שיתוף פעולה מדעי דו-לאומי
4|06|dataset|2023-03-21|חברי המועצה לקידום נשים במדע ובטכנולוגיה|science-and-technology|No|NA|1|1|--|Elas@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|||חברי המועצה לקידום נשים במדע ובטכנולוגיה
5|062019|dataset|2023-03-21|ביצוע תקציב על שינוייו יוני 2019 לא מבוקר|mof|No|NA|1|1|--|shimritl@cio.gov.il|משרד האוצר|cc-by|Creative Commons Attribution|דוח זה הופק מתוך המערכות התפעוליות ומהווה תמונת מצב חלקית בלבד ואין להסיק ממנו מסקנות לעניין הביצוע התקציבי בתכנית זו או אחרת לגבי שנת 2019.
6|14|dataset|2023-03-21|מלגות עידוד לנשים ללימודי הנדסת אלקטרואופטיקה וביואינפורמטיקה|science-and-technology|No|NA|1|1|--|Elas@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|cc-by|Creative Commons Attribution|מלגות עידוד לנשים ללימודי הנדסת אלקטרואופטיקה וביואינפורמטיקה
7|17|dataset|2023-03-21|מרכזי להב"ה|science-and-technology|No|NA|1|2|--|Yosit@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|||מרכזים בפרישה ארצית ובהם פעילות הכשרה ביישומי מחשב, הכשרה והעשרה טכנולוגית לציבור הרחב
8|18|dataset|2023-03-21|מרכז מחקר ופיתוח|science-and-technology|No|NA|1|0|--|netanelm@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|cc-by|Creative Commons Attribution|מרכז מחקר ופיתוח
9|19|dataset|2023-03-21|חוגי מדע|science-and-technology|No|NA|1|2|--|netanelm@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|||חוגי מדע לילדים ונוער ברשויות המקומיות
10|1997|dataset|2024-04-17|ספר השמות הגיאוגרפיים בישראל משנת 1997|israel_mapping_center|No|NotConstant|1|0|--|ronitt@mapi.gov.il|המרכז למיפוי ישראל|other-open|Other (Open)|טופונומסטיקון
